"model","seed","mechanism","utility","coverage","demand","quality","redundancy","totalRewards","averageReward","leakage","detection","falsePositives","verificationCost","prevented","verificationEfficiency","attackROI","participation","concentration","usefulEfficiency","verified","configuration"
"1.0","47","Contribution","0.6937055523837877","0.956","0.8666035034533356","0.6453373047004816","0.829","766.1924362917601","7.661924362917602","159.95404552533054","0.42857142857142855","0","10","155.87170913882653","15.587170913882654","2.9988511381332636","0.59","0.031719727692485544","0.7286683934775251","10","{""seed"":47,""providers"":100,""users"":1000,""malicious"":20,""radius"":2.2,""capacity"":24,""reliability"":0.92,""quality"":0.9,""cost"":2,""stake"":10,""budget"":10,""verificationCost"":1,""sensitivity"":0.8,""falsePositive"":0.02,""strategy"":""risk"",""attack"":""false contribution"",""inflation"":3,""attackCost"":2,""sybils"":2,""sybilCost"":3,""fakeDemand"":25,""collusion"":0.6,""density"":""medium"",""distribution"":""clustered"",""placement"":""reward"",""pool"":1000,""weights"":[0.3,0.35,0.25,0.06,0.04],""trials"":10}"
"1.0","47","Quality-adjusted","0.6937055523837877","0.956","0.8666035034533356","0.6453373047004816","0.829","772.9208682263016","7.729208682263017","165.3225685443072","0.42857142857142855","0","10","151.38608784913237","15.138608784913236","3.1330642136076796","0.59","0.03246334938424861","0.7234299641068828","10","{""seed"":47,""providers"":100,""users"":1000,""malicious"":20,""radius"":2.2,""capacity"":24,""reliability"":0.92,""quality"":0.9,""cost"":2,""stake"":10,""budget"":10,""verificationCost"":1,""sensitivity"":0.8,""falsePositive"":0.02,""strategy"":""risk"",""attack"":""false contribution"",""inflation"":3,""attackCost"":2,""sybils"":2,""sybilCost"":3,""fakeDemand"":25,""collusion"":0.6,""density"":""medium"",""distribution"":""clustered"",""placement"":""reward"",""pool"":1000,""weights"":[0.3,0.35,0.25,0.06,0.04],""trials"":10}"
"1.0","47","Marginal utility","0.6937055523837877","0.956","0.8666035034533356","0.6453373047004816","0.829","929.3537690879125","9.293537690879125","70.70249007481121","0.14285714285714285","0","10","47.097487274724685","4.709748727472468","0.7675622518702803","0.38","0.041357041940988354","0.9239229533181967","10","{""seed"":47,""providers"":100,""users"":1000,""malicious"":20,""radius"":2.2,""capacity"":24,""reliability"":0.92,""quality"":0.9,""cost"":2,""stake"":10,""budget"":10,""verificationCost"":1,""sensitivity"":0.8,""falsePositive"":0.02,""strategy"":""risk"",""attack"":""false contribution"",""inflation"":3,""attackCost"":2,""sybils"":2,""sybilCost"":3,""fakeDemand"":25,""collusion"":0.6,""density"":""medium"",""distribution"":""clustered"",""placement"":""reward"",""pool"":1000,""weights"":[0.3,0.35,0.25,0.06,0.04],""trials"":10}"
"1.0","47","Proposed","0.6937055523837877","0.956","0.8666035034533356","0.6453373047004816","0.829","932.8785783669331","9.32878578366933","61.97768512469946","0.14285714285714285","0","10","44.74761442204487","4.474761442204487","0.5494421281174866","0.39","0.0429582709222734","0.9335629667547993","10","{""seed"":47,""providers"":100,""users"":1000,""malicious"":20,""radius"":2.2,""capacity"":24,""reliability"":0.92,""quality"":0.9,""cost"":2,""stake"":10,""budget"":10,""verificationCost"":1,""sensitivity"":0.8,""falsePositive"":0.02,""strategy"":""risk"",""attack"":""false contribution"",""inflation"":3,""attackCost"":2,""sybils"":2,""sybilCost"":3,""fakeDemand"":25,""collusion"":0.6,""density"":""medium"",""distribution"":""clustered"",""placement"":""reward"",""pool"":1000,""weights"":[0.3,0.35,0.25,0.06,0.04],""trials"":10}"
"1.0","48","Contribution","0.7527214094579512","0.984","0.9628880598257993","0.7346023540756857","0.919","712.2314299773618","7.122314299773618","105.85129862590964","0.4444444444444444","0","10","191.84571334842545","19.184571334842545","1.6462824656477408","0.6","0.026430994188534788","0.7466487031655381","10","{""seed"":48,""providers"":100,""users"":1000,""malicious"":20,""radius"":2.2,""capacity"":24,""reliability"":0.92,""quality"":0.9,""cost"":2,""stake"":10,""budget"":10,""verificationCost"":1,""sensitivity"":0.8,""falsePositive"":0.02,""strategy"":""risk"",""attack"":""false contribution"",""inflation"":3,""attackCost"":2,""sybils"":2,""sybilCost"":3,""fakeDemand"":25,""collusion"":0.6,""density"":""medium"",""distribution"":""clustered"",""placement"":""reward"",""pool"":1000,""weights"":[0.3,0.35,0.25,0.06,0.04],""trials"":10}"
"1.0","48","Quality-adjusted","0.7527214094579512","0.984","0.9628880598257993","0.7346023540756857","0.919","706.8064041521204","7.068064041521204","99.52812947634487","0.4444444444444444","0","10","195.46239723192002","19.546239723192002","1.4882032369086218","0.6","0.02596900082900798","0.7530704578746688","10","{""seed"":48,""providers"":100,""users"":1000,""malicious"":20,""radius"":2.2,""capacity"":24,""reliability"":0.92,""quality"":0.9,""cost"":2,""stake"":10,""budget"":10,""verificationCost"":1,""sensitivity"":0.8,""falsePositive"":0.02,""strategy"":""risk"",""attack"":""false contribution"",""inflation"":3,""attackCost"":2,""sybils"":2,""sybilCost"":3,""fakeDemand"":25,""collusion"":0.6,""density"":""medium"",""distribution"":""clustered"",""placement"":""reward"",""pool"":1000,""weights"":[0.3,0.35,0.25,0.06,0.04],""trials"":10}"
"1.0","48","Marginal utility","0.7527214094579512","0.984","0.9628880598257993","0.7346023540756857","0.919","846.3971925871815","8.463971925871816","55.38720392162598","0.2222222222222222","1","10","83.55971752098462","8.355971752098462","0.38468009804064957","0.46","0.040842283261226714","0.9345612149866377","10","{""seed"":48,""providers"":100,""users"":1000,""malicious"":20,""radius"":2.2,""capacity"":24,""reliability"":0.92,""quality"":0.9,""cost"":2,""stake"":10,""budget"":10,""verificationCost"":1,""sensitivity"":0.8,""falsePositive"":0.02,""strategy"":""risk"",""attack"":""false contribution"",""inflation"":3,""attackCost"":2,""sybils"":2,""sybilCost"":3,""fakeDemand"":25,""collusion"":0.6,""density"":""medium"",""distribution"":""clustered"",""placement"":""reward"",""pool"":1000,""weights"":[0.3,0.35,0.25,0.06,0.04],""trials"":10}"
"1.0","48","Proposed","0.7527214094579512","0.984","0.9628880598257993","0.7346023540756857","0.919","866.6216466352923","8.666216466352923","46.93775792511969","0.2222222222222222","1","10","71.46085311380173","7.146085311380173","0.17344394812799227","0.45","0.04407729219773253","0.9458382350506033","10","{""seed"":48,""providers"":100,""users"":1000,""malicious"":20,""radius"":2.2,""capacity"":24,""reliability"":0.92,""quality"":0.9,""cost"":2,""stake"":10,""budget"":10,""verificationCost"":1,""sensitivity"":0.8,""falsePositive"":0.02,""strategy"":""risk"",""attack"":""false contribution"",""inflation"":3,""attackCost"":2,""sybils"":2,""sybilCost"":3,""fakeDemand"":25,""collusion"":0.6,""density"":""medium"",""distribution"":""clustered"",""placement"":""reward"",""pool"":1000,""weights"":[0.3,0.35,0.25,0.06,0.04],""trials"":10}"
"1.0","49","Contribution","0.7499846820471989","0.979","0.9558179072038202","0.7414736581034478","0.927","748.8975703484881","7.488975703484881","100.69368428871026","0.4444444444444444","0","10","167.40161976767445","16.740161976767446","1.5173421072177564","0.63","0.026376223143778632","0.7819263499135094","10","{""seed"":49,""providers"":100,""users"":1000,""malicious"":20,""radius"":2.2,""capacity"":24,""reliability"":0.92,""quality"":0.9,""cost"":2,""stake"":10,""budget"":10,""verificationCost"":1,""sensitivity"":0.8,""falsePositive"":0.02,""strategy"":""risk"",""attack"":""false contribution"",""inflation"":3,""attackCost"":2,""sybils"":2,""sybilCost"":3,""fakeDemand"":25,""collusion"":0.6,""density"":""medium"",""distribution"":""clustered"",""placement"":""reward"",""pool"":1000,""weights"":[0.3,0.35,0.25,0.06,0.04],""trials"":10}"
"1.0","49","Quality-adjusted","0.7499846820471989","0.979","0.9558179072038202","0.7414736581034478","0.927","739.5098022680928","7.395098022680928","99.66502048131258","0.4444444444444444","0","10","173.66013182127142","17.36601318212714","1.4916255120328146","0.63","0.027018126738791844","0.7828592449050917","10","{""seed"":49,""providers"":100,""users"":1000,""malicious"":20,""radius"":2.2,""capacity"":24,""reliability"":0.92,""quality"":0.9,""cost"":2,""stake"":10,""budget"":10,""verificationCost"":1,""sensitivity"":0.8,""falsePositive"":0.02,""strategy"":""risk"",""attack"":""false contribution"",""inflation"":3,""attackCost"":2,""sybils"":2,""sybilCost"":3,""fakeDemand"":25,""collusion"":0.6,""density"":""medium"",""distribution"":""clustered"",""placement"":""reward"",""pool"":1000,""weights"":[0.3,0.35,0.25,0.06,0.04],""trials"":10}"
